City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
297,Oistins,BB,83.01,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
298,Kindu,CD,78.04,few clouds,-2.95,25.95,Résidence Okanda
299,Gboko,NG,73.27,moderate rain,7.3179,8.9951,Mavillah Apartment and Suites
301,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
303,Pihuamo,MX,76.32,overcast clouds,19.2499,-103.3828,Hotel Primavera
305,Turbat,PK,89.98,clear sky,26.0023,63.044,Mubashar Quarters
307,Acapulco,MX,86.59,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Nara,JP,81.91,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
318,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
319,Mbanza-Ngungu,CD,78.35,clear sky,-5.25,14.8667,Hotel Full Business
322,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
323,Pak Phanang,TH,82.08,overcast clouds,8.3511,100.202,Green Park Inn Hotel
325,Sao Jose Da Coroa Grande,BR,74.64,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
328,Qui Nhon,VN,84.15,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
335,Amahai,ID,77.18,moderate rain,-3.3333,128.9167,HOTEL ISABELA
342,Izumo,JP,78.75,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
345,Mogadishu,SO,76.5,overcast clouds,2.0371,45.3438,Hotel Juba
346,Pacific Grove,US,82.17,few clouds,36.6177,-121.9166,Lovers Point Inn
347,Les Cayes,HT,86.32,few clouds,18.2,-73.75,Villa Orphee
349,Bouafle,CI,80.62,light rain,6.9904,-5.7442,Hotel Zaouli
350,Matara,LK,77.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
351,Tecoanapa,MX,86.88,overcast clouds,16.5167,-98.75,Hotel Manglares
352,Port Blair,IN,81.86,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
353,Beirut,LB,86.38,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
354,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
355,Cabatuan,PH,77.2,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
357,Westport,US,81.95,overcast clouds,41.1415,-73.3579,The Westport Inn
358,Lagoa,PT,73.09,clear sky,39.05,-27.9833,Casa Das Faias
359,Fairbanks,US,75.22,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
361,Arlit,NE,88.7,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
362,Bekhteyevka,RU,74.3,light rain,50.8072,37.2085,Dubravushka
363,San Patricio,US,85.87,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
364,Manggar,ID,81.23,overcast clouds,-2.8833,108.2667,Guest Hotel
368,Arica,CL,71.15,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
373,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
374,Trairi,BR,81.54,overcast clouds,-3.2778,-39.2689,janelas do mar
376,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
379,Harper,LR,75.94,overcast clouds,4.375,-7.7169,Screensaver
380,Morondava,MG,73.31,scattered clouds,-20.2833,44.2833,La Case Bambou
382,Finschhafen,PG,76.73,moderate rain,-6.6024,147.8681,Cossam Guest House
385,Shimoda,JP,78.15,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
391,San Alberto,CO,89.89,scattered clouds,7.7611,-73.3922,Hotel San Alberto Plaza
392,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
393,Vung Tau,VN,80.55,broken clouds,10.346,107.0843,Green hotel
397,Pilot Butte,CA,76.73,smoke,50.4668,-104.4178,Sleep Inn Regina East
399,Elk City,US,87.78,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
406,Matamoros,MX,83.1,overcast clouds,25.5333,-103.25,Quinta Belem
407,Cap Malheureux,MU,70.29,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
408,Kulhudhuffushi,MV,81.64,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
