City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,Jumla,NP,2021-08-05 19:50:27,29.2747,82.1838,63.14,97,99,0.74,overcast clouds
93,Santa Rosa,PH,2021-08-05 19:50:27,14.3122,121.1114,82.38,85,100,7.16,overcast clouds
94,Richards Bay,ZA,2021-08-05 19:49:11,-28.783,32.0377,62.49,91,0,5.39,clear sky
95,Narsaq,GL,2021-08-05 19:50:28,60.9167,-46.05,49.21,85,100,6.04,light rain
96,Qaanaaq,GL,2021-08-05 19:50:28,77.484,-69.3632,46.98,60,33,2.1,scattered clouds
97,Anadyr,RU,2021-08-05 19:50:28,64.75,177.4833,48.7,81,40,11.01,scattered clouds
98,Mackenzie,CA,2021-08-05 19:50:29,55.2999,-123.1698,73.62,60,40,5.75,scattered clouds
99,Alice Springs,AU,2021-08-05 19:50:29,-23.7,133.8833,35.15,75,0,0.0,clear sky
100,Guaruja,BR,2021-08-05 19:46:28,-23.9931,-46.2564,74.8,68,75,8.05,broken clouds
101,Bredasdorp,ZA,2021-08-05 19:50:30,-34.5322,20.0403,52.92,94,40,3.44,scattered clouds
102,Touros,BR,2021-08-05 19:50:30,-5.1989,-35.4608,79.7,73,46,17.81,scattered clouds
103,Bartica,GY,2021-08-05 19:50:30,6.4,-58.6167,89.92,68,92,4.09,overcast clouds
104,Haines Junction,CA,2021-08-05 19:50:31,60.7522,-137.5108,64.35,68,76,2.3,light rain
105,Khatanga,RU,2021-08-05 19:50:31,71.9667,102.5,57.31,45,57,9.42,broken clouds
106,Erenhot,CN,2021-08-05 19:50:31,43.6475,111.9767,68.22,41,8,5.41,clear sky
107,East London,ZA,2021-08-05 19:50:31,-33.0153,27.9116,66.02,85,86,3.96,overcast clouds
108,Balikpapan,ID,2021-08-05 19:50:32,-1.2675,116.8289,76.78,88,100,5.79,moderate rain
109,Nikolskoye,RU,2021-08-05 19:50:32,59.7035,30.7861,62.49,86,100,1.61,overcast clouds
110,Isangel,VU,2021-08-05 19:50:32,-19.55,169.2667,66.31,82,80,4.61,broken clouds
111,Roald,NO,2021-08-05 19:50:33,62.5833,6.1333,64.45,77,0,10.36,clear sky
112,Sorland,NO,2021-08-05 19:50:33,67.667,12.6934,53.78,91,100,11.56,overcast clouds
113,Clyde River,CA,2021-08-05 19:50:33,70.4692,-68.5914,39.43,100,90,11.5,moderate rain
114,Samarai,PG,2021-08-05 19:50:34,-10.6167,150.6667,77.34,72,99,15.82,overcast clouds
115,Hermanus,ZA,2021-08-05 19:50:34,-34.4187,19.2345,55.9,89,1,10.09,clear sky
116,Flinders,AU,2021-08-05 19:50:34,-34.5833,150.8552,51.08,76,0,8.14,clear sky
117,Mount Isa,AU,2021-08-05 19:50:34,-20.7333,139.5,49.77,46,9,6.91,clear sky
118,Caravelas,BR,2021-08-05 19:50:35,-17.7125,-39.2481,71.51,70,99,10.87,overcast clouds
119,Norman Wells,CA,2021-08-05 19:50:35,65.282,-126.8329,62.64,67,75,11.5,smoke
120,Castro,BR,2021-08-05 19:50:35,-24.7911,-50.0119,59.02,70,100,7.43,overcast clouds
121,Tarija,BO,2021-08-05 19:50:35,-21.5355,-64.7296,76.91,23,40,5.75,scattered clouds
122,Ahipara,NZ,2021-08-05 19:50:36,-35.1667,173.1667,55.08,85,54,14.97,broken clouds
123,Saldanha,ZA,2021-08-05 19:50:36,-33.0117,17.9442,51.85,88,0,3.51,clear sky
124,Guerrero Negro,MX,2021-08-05 19:50:36,27.9769,-114.0611,82.27,54,20,10.45,few clouds
125,Chakrata,IN,2021-08-05 19:50:37,30.7,77.85,60.39,92,22,1.52,few clouds
126,Taquaritinga Do Norte,BR,2021-08-05 19:50:37,-7.9031,-36.0442,68.29,77,73,12.01,broken clouds
127,Lebedinyy,RU,2021-08-05 19:50:37,58.5167,125.5167,52.95,91,79,3.65,broken clouds
128,Vostok,RU,2021-08-05 19:50:37,46.4856,135.8833,63.75,97,100,4.0,overcast clouds
129,Tadine,NC,2021-08-05 19:50:38,-21.55,167.8833,67.64,65,90,16.78,overcast clouds
